model,method,severity,feature_delta,metric,rho,n
vit_b_16,ig,2,abs_delta_contrast,xai_iou,-0.1031654534635229,45
vit_b_16,ig,2,abs_delta_hf_energy,xai_iou,-0.14150663731778235,45
vit_b_16,ig,2,abs_delta_edge_strength,xai_iou,-0.14809446959514655,45
vit_b_16,ig,2,abs_delta_entropy,xai_iou,-0.26548964077777604,45
vit_b_16,ig,2,abs_delta_saturation,xai_iou,-0.42484930356721523,45
vit_b_16,ig,2,abs_delta_colorfulness,xai_iou,-0.13070259238290513,45
vit_b_16,ig,3,abs_delta_brightness,xai_iou,-0.6507246376811593,45
vit_b_16,ig,3,abs_delta_contrast,xai_iou,-0.12542819499341237,45
vit_b_16,ig,3,abs_delta_hf_energy,xai_iou,-0.1729907773386034,45
vit_b_16,ig,3,abs_delta_edge_strength,xai_iou,-0.141897233201581,45
vit_b_16,ig,3,abs_delta_entropy,xai_iou,-0.3204216073781291,45
vit_b_16,ig,3,abs_delta_saturation,xai_iou,-0.33162055335968377,45
vit_b_16,ig,3,abs_delta_colorfulness,xai_iou,-0.25230566534914356,45
vit_b_16,ig,4,abs_delta_brightness,xai_iou,-0.6563899868247695,45
vit_b_16,ig,4,abs_delta_contrast,xai_iou,-0.22160737812911724,45
vit_b_16,ig,4,abs_delta_hf_energy,xai_iou,-0.36613965744400523,45
vit_b_16,ig,4,abs_delta_edge_strength,xai_iou,-0.13939393939393938,45
vit_b_16,ig,4,abs_delta_entropy,xai_iou,-0.39328063241106714,45
vit_b_16,ig,4,abs_delta_saturation,xai_iou,-0.46021080368906453,45
vit_b_16,ig,4,abs_delta_colorfulness,xai_iou,-0.52266139657444,45
vit_b_16,ig,5,abs_delta_brightness,xai_iou,-0.5343390760170078,45
vit_b_16,ig,5,abs_delta_contrast,xai_iou,-0.1742481637362823,45
vit_b_16,ig,5,abs_delta_hf_energy,xai_iou,-0.44118712761507844,45
vit_b_16,ig,5,abs_delta_edge_strength,xai_iou,-0.2731315262195185,45
vit_b_16,ig,5,abs_delta_entropy,xai_iou,-0.6290721041655046,45
vit_b_16,ig,5,abs_delta_saturation,xai_iou,-0.589083962241904,45
