model,family,wnid,name,acc_clean,acc_clean_top5,mPC_top1,mPC_top5,abs_drop,rel_drop,mce_class,rmce_class,sev_slope,prob_clean,prob_corr,drop_noise,drop_blur,drop_weather,drop_digital,acc_noise,acc_blur,acc_weather,acc_digital
resnet101,CNN,n02804414,bassinet,0.8,0.96,0.416,0.6525333333333333,0.38400000000000006,0.48000000000000004,0.5840000000000001,1.455808625868304,-0.12186666666666668,0.6167844970710575,0.2706414703808365,0.4693333333333334,0.49000000000000005,0.31000000000000005,0.28800000000000003,0.33066666666666666,0.31,0.49,0.512
resnet101,CNN,n03666591,lighter,0.86,0.96,0.4477333333333333,0.6426666666666667,0.41226666666666667,0.4793798449612403,0.5522666666666667,1.5629723163836096,-0.10373333333333332,0.6134697008691729,0.2955948158230399,0.40399999999999997,0.41,0.40599999999999997,0.427,0.456,0.45,0.454,0.433
resnet101,CNN,n04479046,trench_coat,0.74,0.88,0.3864,0.5568,0.35359999999999997,0.4778378378378378,0.6135999999999999,1.3405571096537297,-0.08666666666666667,0.5383390938991215,0.24351723147468674,0.35733333333333334,0.46499999999999997,0.256,0.33699999999999997,0.38266666666666665,0.275,0.484,0.403
resnet101,CNN,n03976657,pole,0.56,0.86,0.2928,0.5954666666666667,0.26720000000000005,0.4771428571428572,0.7072,1.0130001688333616,-0.04906666666666667,0.3981493051990401,0.16933809824903093,0.24400000000000005,0.36400000000000005,0.21300000000000008,0.24200000000000005,0.316,0.196,0.347,0.318
resnet101,CNN,n04254120,soap_dispenser,0.72,0.9,0.3768,0.5773333333333334,0.34319999999999995,0.4766666666666666,0.6232,1.3011289593697963,-0.08413333333333332,0.4976537973806262,0.24018930201724645,0.3466666666666666,0.45899999999999996,0.283,0.285,0.37333333333333335,0.261,0.437,0.435
resnet101,CNN,n04263257,soup_bowl,0.56,0.94,0.29333333333333333,0.7304,0.2666666666666667,0.4761904761904762,0.7066666666666667,1.0109782124085445,-0.058399999999999994,0.4231183410808444,0.2003700897754509,0.2493333333333334,0.26300000000000007,0.22800000000000004,0.32200000000000006,0.31066666666666665,0.297,0.332,0.238
resnet101,CNN,n03250847,drumstick,0.72,0.84,0.3776,0.5904,0.3424,0.47555555555555556,0.6224000000000001,1.2980960247325708,-0.07346666666666665,0.488638476326596,0.2380873029243792,0.41733333333333333,0.33899999999999997,0.27999999999999997,0.352,0.30266666666666664,0.381,0.44,0.368
resnet101,CNN,n04208210,shovel,0.8,0.94,0.4202666666666667,0.5952,0.37973333333333337,0.4746666666666667,0.5797333333333333,1.4396329744697673,-0.08413333333333335,0.5723900902597233,0.25969915550113065,0.35066666666666674,0.603,0.19500000000000006,0.36300000000000004,0.4493333333333333,0.197,0.605,0.437
resnet101,CNN,n04557648,water_bottle,0.64,0.82,0.3368,0.5416,0.3032,0.47375,0.6632,1.149482227508515,-0.08626666666666667,0.4595479681505822,0.2099524287374847,0.35200000000000004,0.361,0.183,0.329,0.288,0.279,0.457,0.311
resnet101,CNN,n03916031,perfume,0.88,0.96,0.46373333333333333,0.6914666666666667,0.4162666666666667,0.473030303030303,0.5362666666666667,1.5781369895697377,-0.09586666666666667,0.6015698315389454,0.30053732203750205,0.42133333333333334,0.517,0.29500000000000004,0.433,0.45866666666666667,0.363,0.585,0.447
resnet101,CNN,n04560804,water_jug,0.3,0.92,0.15813333333333332,0.572,0.14186666666666667,0.4728888888888889,0.8418666666666667,0.5378404090013456,-0.03373333333333334,0.24064282714854918,0.1125437209951021,0.212,0.187,0.086,0.09999999999999998,0.088,0.113,0.214,0.2
resnet101,CNN,n03141823,crutch,0.7,0.88,0.36906666666666665,0.524,0.3309333333333333,0.47276190476190477,0.6309333333333333,1.2546239615990034,-0.07906666666666666,0.4833697136142291,0.23963998850777954,0.29599999999999993,0.485,0.19299999999999995,0.34099999999999997,0.404,0.215,0.507,0.359
resnet101,CNN,n03014705,chest,0.82,0.92,0.43333333333333335,0.6232,0.3866666666666666,0.47154471544715443,0.5666666666666667,1.465918407992389,-0.09706666666666668,0.5511193590937182,0.2724146408495561,0.3573333333333333,0.5349999999999999,0.2719999999999999,0.37499999999999994,0.46266666666666667,0.285,0.548,0.445
resnet101,CNN,n03958227,plastic_bag,0.5,0.78,0.2648,0.46053333333333335,0.23520000000000002,0.47040000000000004,0.7352000000000001,0.8916827833443361,-0.054666666666666676,0.3558940710790921,0.16286221532657189,0.3426666666666667,0.344,0.062,0.21899999999999997,0.15733333333333333,0.156,0.438,0.281
resnet101,CNN,n04154565,screwdriver,0.52,0.82,0.276,0.5026666666666667,0.244,0.46923076923076923,0.724,0.9250450643538181,-0.05586666666666666,0.3477443082467653,0.16182972214448668,0.2813333333333333,0.30700000000000005,0.14,0.257,0.23866666666666667,0.213,0.38,0.263
resnet101,CNN,n03782006,monitor,0.34,0.88,0.18053333333333332,0.5984,0.1594666666666667,0.46901960784313734,0.8194666666666667,0.6045649710203096,-0.04106666666666666,0.2300282407272606,0.10969465706900754,0.18000000000000002,0.22700000000000004,0.09200000000000003,0.14400000000000002,0.16,0.113,0.248,0.196
resnet101,CNN,n07920052,espresso,0.74,0.92,0.3930666666666667,0.6378666666666667,0.3469333333333333,0.4688288288288288,0.6069333333333333,1.315282654343516,-0.06866666666666667,0.5295029168453766,0.26017122751295846,0.3773333333333333,0.254,0.348,0.416,0.3626666666666667,0.486,0.392,0.324
resnet101,CNN,n03877472,pajama,0.88,0.98,0.46773333333333333,0.6424,0.41226666666666667,0.4684848484848485,0.5322666666666667,1.5629723163836096,-0.12026666666666666,0.5703070767875761,0.2844554807598144,0.492,0.602,0.239,0.33599999999999997,0.388,0.278,0.641,0.544
resnet101,CNN,n03950228,pitcher,0.6,0.94,0.31893333333333335,0.6698666666666667,0.28106666666666663,0.4684444444444444,0.6810666666666667,1.0655710358786057,-0.0504,0.3830966958822682,0.20167974421231236,0.21199999999999997,0.42899999999999994,0.184,0.282,0.388,0.171,0.416,0.318
resnet101,CNN,n03995372,power_drill,0.7,0.88,0.3725333333333333,0.5408,0.32746666666666663,0.4678095238095238,0.6274666666666666,1.2414812448376924,-0.07906666666666666,0.48569419552804904,0.2390463668445765,0.3253333333333333,0.412,0.22499999999999998,0.347,0.37466666666666665,0.288,0.475,0.353
