model,method,feature_delta,target,spearman_rho,n,key
resnet101,ig,abs_delta_brightness,entropy_delta,-0.10021070375052678,225,resnet101 / ig
vit_b_16,cam,abs_delta_brightness,xai_corr,0.09864517488411295,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_brightness,centroid_shift,-0.09493152128107882,225,vit_b_16 / cam
resnet101,cam,abs_delta_edge_strength,centroid_shift,0.09461757269279394,225,resnet101 / cam
resnet101,ig,abs_delta_edge_strength,centroid_shift,0.0920480404551201,225,resnet101 / ig
resnet101,ig,abs_delta_contrast,xai_corr,-0.0905109565950274,225,resnet101 / ig
resnet101,cam,abs_delta_colorfulness,centroid_shift,-0.08906658238516647,225,resnet101 / cam
vit_b_16,cam,abs_delta_edge_strength,xai_corr,-0.08843447113358618,225,vit_b_16 / cam
resnet101,cam,abs_delta_hf_energy,xai_corr,-0.08710493046776234,225,resnet101 / cam
resnet101,cam,abs_delta_contrast,entropy_delta,-0.0856573957016435,225,resnet101 / cam
resnet101,ig,abs_delta_contrast,xai_iou,-0.08323608015318408,225,resnet101 / ig
vit_b_16,cam,abs_delta_brightness,xai_iou,0.08206316574527353,225,vit_b_16 / cam
vit_b_32,ig,abs_delta_edge_strength,entropy_delta,0.08111778339654448,225,vit_b_32 / ig
vit_b_16,cam,abs_delta_saturation,centroid_shift,0.08023388116308472,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_hf_energy,xai_iou,-0.0795690591811685,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_edge_strength,xai_iou,-0.07839207691158452,225,vit_b_16 / cam
vit_b_16,rollout,abs_delta_brightness,entropy_delta,-0.0769353139485883,225,vit_b_16 / rollout
vit_b_32,ig,abs_delta_entropy,entropy_delta,0.07626316898440794,225,vit_b_32 / ig
vit_b_32,cam,abs_delta_hf_energy,entropy_delta,-0.07561420143278551,225,vit_b_32 / cam
vit_b_32,rollout,abs_delta_brightness,prob_drop,0.07561209439528024,225,vit_b_32 / rollout
vit_b_32,ig,abs_delta_brightness,prob_drop,0.07561209439528024,225,vit_b_32 / ig
vit_b_32,cam,abs_delta_brightness,prob_drop,0.07561209439528024,225,vit_b_32 / cam
vit_b_16,ig,abs_delta_contrast,entropy_delta,-0.07365992414664982,225,vit_b_16 / ig
resnet101,cam,abs_delta_edge_strength,xai_iou,-0.07336599241466499,225,resnet101 / cam
vit_b_16,ig,abs_delta_entropy,entropy_delta,-0.07166666666666668,225,vit_b_16 / ig
resnet101,ig,abs_delta_hf_energy,entropy_delta,-0.07057522123893807,225,resnet101 / ig
resnet101,ig,abs_delta_edge_strength,prob_drop,-0.07013485040033714,225,resnet101 / ig
resnet101,cam,abs_delta_edge_strength,prob_drop,-0.07013485040033714,225,resnet101 / cam
vit_b_16,cam,abs_delta_hf_energy,xai_corr,-0.06936156763590393,225,vit_b_16 / cam
vit_b_16,ig,abs_delta_edge_strength,centroid_shift,0.06934787189211968,225,vit_b_16 / ig
resnet101,cam,abs_delta_saturation,xai_iou,0.06912031184155078,225,resnet101 / cam
vit_b_32,cam,abs_delta_contrast,centroid_shift,0.06836599241466498,225,vit_b_32 / cam
resnet101,cam,abs_delta_contrast,xai_iou,0.06779182469447957,225,resnet101 / cam
vit_b_32,ig,abs_delta_contrast,entropy_delta,0.06469553308048884,225,vit_b_32 / ig
vit_b_32,ig,abs_delta_entropy,prob_drop,0.06386325326590815,225,vit_b_32 / ig
vit_b_32,cam,abs_delta_entropy,prob_drop,0.06386325326590815,225,vit_b_32 / cam
vit_b_32,rollout,abs_delta_entropy,prob_drop,0.06386325326590815,225,vit_b_32 / rollout
vit_b_16,cam,abs_delta_contrast,xai_corr,0.0628581963758955,225,vit_b_16 / cam
vit_b_32,ig,abs_delta_hf_energy,centroid_shift,0.060789085545722724,225,vit_b_32 / ig
vit_b_32,cam,abs_delta_brightness,centroid_shift,0.05965128529287822,225,vit_b_32 / cam
resnet101,cam,abs_delta_hf_energy,centroid_shift,0.05770332911925833,225,resnet101 / cam
resnet101,ig,abs_delta_contrast,prob_drop,-0.056405394016013494,225,resnet101 / ig
resnet101,cam,abs_delta_contrast,prob_drop,-0.056405394016013494,225,resnet101 / cam
