wnid,mean_drift,spillover_rate,n_par,model
n02510455,0.327812522649765,0.125,40,resnet50
n02514041,0.4265105128288269,0.375,40,resnet50
n02526121,0.4339286684989929,0.325,40,resnet50
n02536864,0.45740842819213867,0.45,40,resnet50
n02606052,0.27413591742515564,0.2,40,resnet50
n02607072,0.31349214911460876,0.2,40,resnet50
n02640242,0.43150538206100464,0.35,40,resnet50
n02641379,0.3874714970588684,0.45,40,resnet50
n02643566,0.30920347571372986,0.175,40,resnet50
n02655020,0.46544352173805237,0.4,40,resnet50
n02666196,0.3065444827079773,0.2,40,resnet50
n02667093,0.3961929380893707,0.225,40,resnet50
n02669723,0.3547726571559906,0.4,40,resnet50
n02672831,0.3513430953025818,0.175,40,resnet50
n02676566,0.3064279556274414,0.25,40,resnet50
n02687172,0.37551039457321167,0.425,40,resnet50
n02690373,0.29469507932662964,0.225,40,resnet50
n02692877,0.39986854791641235,0.2,40,resnet50
n02699494,0.41832226514816284,0.425,40,resnet50
n02701002,0.20580804347991943,0.0,40,resnet50
n02704792,0.3628367781639099,0.5,40,resnet50
n02708093,0.23320230841636658,0.125,40,resnet50
n02727426,0.5252798795700073,0.675,40,resnet50
n02730930,0.4202094078063965,0.5,40,resnet50
n02747177,0.38486483693122864,0.3,40,resnet50
n02749479,0.412065327167511,0.4,40,resnet50
n02769748,0.4264584481716156,0.5,40,resnet50
n02776631,0.41449013352394104,0.75,40,resnet50
n02777292,0.37065237760543823,0.275,40,resnet50
n02782093,0.30800288915634155,0.275,40,resnet50
n02783161,0.3646915853023529,0.325,40,resnet50
n02786058,0.4018617570400238,0.275,40,resnet50
n02787622,0.3927815556526184,0.325,40,resnet50
n02788148,0.3816807270050049,0.275,40,resnet50
n02790996,0.42033976316452026,0.625,40,resnet50
n02791124,0.4508171081542969,0.4,40,resnet50
n02791270,0.3795056939125061,0.55,40,resnet50
n02793495,0.3424764573574066,0.1,40,resnet50
n02794156,0.2532958388328552,0.225,40,resnet50
n02795169,0.36994847655296326,0.325,40,resnet50
n02797295,0.43914690613746643,0.35,40,resnet50
n02799071,0.26772835850715637,0.325,40,resnet50
n02802426,0.44271716475486755,0.4,40,resnet50
n02804414,0.48229044675827026,0.55,40,resnet50
n02804610,0.3676261901855469,0.375,40,resnet50
n02807133,0.3697659373283386,0.325,40,resnet50
n02808304,0.42318516969680786,0.875,40,resnet50
n02808440,0.44812798500061035,0.7,40,resnet50
n02814533,0.3178045153617859,0.4,40,resnet50
n02814860,0.2947555184364319,0.075,40,resnet50
n02815834,0.4278416037559509,0.425,40,resnet50
n02817516,0.3224776089191437,0.1,40,resnet50
n02823428,0.3650096654891968,0.225,40,resnet50
n02823750,0.3950023651123047,0.35,40,resnet50
n02825657,0.3532123267650604,0.3,40,resnet50
n02834397,0.4165023863315582,0.375,40,resnet50
n02835271,0.3627870976924896,0.425,40,resnet50
n02837789,0.3729514181613922,0.2,40,resnet50
n02840245,0.3854708969593048,0.3,40,resnet50
