model,family,wnid,name,acc_clean,acc_clean_top5,mPC_top1,mPC_top5,abs_drop,rel_drop,mce_class,rmce_class,sev_slope,prob_clean,prob_corr,drop_noise,drop_blur,drop_weather,drop_digital,acc_noise,acc_blur,acc_weather,acc_digital,brightness,contrast,colorfulness,saturation,hf_ratio,edge_strength,entropy,margin_clean,pred_entropy_clean,n_confusable
resnet101,CNN,n02095314,wire-haired_fox_terrier,0.88,1.0,0.636,0.8504,0.244,0.2772727272727273,0.364,0.9250450643538181,-0.10906666666666669,0.7045746138691902,0.45044090620274657,0.44266666666666665,0.21899999999999997,0.16600000000000004,0.19799999999999995,0.43733333333333335,0.661,0.714,0.682,0.5067297697067261,0.18802520602941514,0.19225190654397012,0.3626870077848434,0.011607583053410054,0.04538985669612885,7.362258708385339,0.6610884,0.530483168326193,4
resnet101,CNN,n02088364,beagle,0.9,1.0,0.6509333333333334,0.8538666666666667,0.24906666666666666,0.27674074074074073,0.34906666666666664,0.9442536503895804,-0.08453333333333332,0.6678621318936347,0.4297927983117275,0.20933333333333337,0.363,0.15700000000000003,0.257,0.6906666666666667,0.537,0.743,0.643,0.4678130066394806,0.22085035383701324,0.14036129355430604,0.2778857094049454,0.010787291824817658,0.03938936553895474,7.404348213866665,0.632775,0.5746114924129399,4
resnet101,CNN,n03854065,organ,0.88,0.96,0.6365333333333333,0.7224,0.24346666666666672,0.2766666666666667,0.3634666666666667,0.9230231079290012,-0.08026666666666667,0.7149394237343222,0.4703668249071503,0.16933333333333334,0.426,0.08899999999999997,0.271,0.7106666666666667,0.454,0.791,0.609,0.38955934822559357,0.21644717395305635,0.16023975387215614,0.35336512118577956,0.04648910015821457,0.060443783402442934,7.339583704270452,0.7192188,0.3347761063401108,5
resnet101,CNN,n04266014,space_shuttle,0.98,1.0,0.7090666666666666,0.8146666666666667,0.27093333333333336,0.27646258503401366,0.2909333333333334,1.0271538638070812,-0.10306666666666668,0.7383523517847062,0.5053355231442606,0.23733333333333329,0.396,0.16700000000000004,0.275,0.7426666666666667,0.584,0.813,0.705,0.4187177801132202,0.21630557805299758,0.15429190486669542,0.3137602323293686,0.022796097530517728,0.0378749630600214,6.914041694483757,0.7279000000000001,0.19641747080963237,2
resnet101,CNN,n03877845,palace,0.68,0.98,0.4925333333333333,0.7834666666666666,0.18746666666666673,0.275686274509804,0.5074666666666667,0.7107176833232068,-0.09400000000000001,0.5699806376127526,0.3274103619430738,0.26400000000000007,0.31100000000000005,0.09400000000000008,0.10000000000000009,0.416,0.369,0.586,0.58,0.4863631618022919,0.23238272905349733,0.16086238697171212,0.26321332216262816,0.02071543611586094,0.05036566734313965,7.239591156491578,0.5869444,0.7006356335271152,11
resnet101,CNN,n02106550,Rottweiler,0.98,0.98,0.7098666666666666,0.8882666666666666,0.27013333333333334,0.27564625850340135,0.29013333333333335,1.0241209291698554,-0.09440000000000001,0.7210227360203862,0.4893448213224949,0.2426666666666667,0.42799999999999994,0.14300000000000002,0.26,0.7373333333333333,0.552,0.837,0.72,0.43355676770210266,0.25666221797466277,0.15212382584810258,0.2858936679363251,0.01286910755559802,0.039047808051109315,7.368369411898252,0.7004873999999998,0.37525650491426227,2
resnet101,CNN,n02114548,white_wolf,0.9,0.98,0.652,0.8456,0.248,0.27555555555555555,0.348,0.9402097375399462,-0.09346666666666667,0.6768089206283912,0.4461591128530286,0.276,0.368,0.136,0.21899999999999997,0.624,0.532,0.764,0.681,0.44567784368991853,0.19680046617984773,0.09024250566959381,0.20429014205932616,0.010913825812749564,0.03777596294879913,7.299086072374804,0.6212240000000001,0.5912905945291113,3
resnet101,CNN,n02115641,dingo,0.82,0.92,0.5941333333333333,0.7744,0.22586666666666666,0.2754471544715447,0.4058666666666667,0.8562985459100371,-0.09586666666666666,0.6493381919059903,0.4115537814731996,0.2453333333333333,0.32999999999999996,0.1509999999999999,0.18199999999999994,0.5746666666666667,0.49,0.669,0.638,0.44329928934574125,0.18201637476682664,0.14470382153987885,0.3440766781568527,0.012731588510796428,0.04123007543385029,7.303270720457193,0.6764351999999999,0.4664130803358732,9
resnet101,CNN,n04201297,shoji,0.8,0.96,0.5797333333333333,0.7672,0.22026666666666672,0.2753333333333334,0.4202666666666667,0.8350680034494579,-0.058933333333333324,0.6135796585312346,0.40133034519923577,0.244,0.18300000000000005,0.273,0.18700000000000006,0.556,0.617,0.527,0.613,0.446512439250946,0.2498151046037674,0.1335026040673256,0.29531449362635614,0.019681409141048788,0.04331336487084627,7.373914577333551,0.5989244,0.6731104366647568,8
resnet101,CNN,n02966193,carousel,0.96,1.0,0.6965333333333333,0.7965333333333333,0.2634666666666666,0.27444444444444444,0.30346666666666666,0.9988464738596416,-0.11773333333333333,0.7712445990741252,0.5005497990162403,0.29333333333333333,0.345,0.12,0.30299999999999994,0.6666666666666666,0.615,0.84,0.657,0.396813902258873,0.22205987930297852,0.20688254415988921,0.4230421328544617,0.029484652206301688,0.05358759880065918,7.447791123596074,0.7618589999999998,0.16940906659746893,3
