grupa,klasa,corruption,severity,prob_spadek,iou_spadek
podatne,ice_cream,impulse_noise,2,0.0507117360830307,0.7675589390962672
podatne,ice_cream,impulse_noise,3,0.07088698446750641,0.7921828021647624
podatne,ice_cream,impulse_noise,4,0.16755016893148422,0.8227016885553471
podatne,ice_cream,impulse_noise,5,0.2038033613935113,0.7949087415946205
podatne,ice_cream,defocus_blur,1,0.12107876688241959,0.41753390097760956
podatne,ice_cream,defocus_blur,2,0.14635970443487167,0.5576315033055476
podatne,ice_cream,defocus_blur,3,0.16474159806966782,0.7040289256198347
podatne,ice_cream,defocus_blur,4,0.16705277189612389,0.7212028542303772
podatne,ice_cream,defocus_blur,5,0.17443295195698738,0.7898227420716266
podatne,ice_cream,glass_blur,1,0.181617833673954,0.5828861903417114
podatne,ice_cream,glass_blur,2,0.16983627900481224,0.7575363664500154
podatne,ice_cream,glass_blur,3,0.21282704640179873,0.7304237824161923
podatne,ice_cream,glass_blur,4,0.2127189659513533,0.5696572365139314
podatne,ice_cream,glass_blur,5,0.21132504288107157,0.6261803749828931
podatne,ice_cream,motion_blur,1,0.07649131119251251,0.40774234491511974
podatne,ice_cream,motion_blur,2,0.03963874280452728,0.5375591985428051
podatne,ice_cream,motion_blur,3,0.14880581945180893,0.5407703488372093
podatne,ice_cream,motion_blur,4,0.1551588587462902,0.5735200056854524
podatne,ice_cream,motion_blur,5,0.2066064327955246,0.6621342398187029
podatne,ice_cream,zoom_blur,1,0.03526441752910614,0.6372462488967343
podatne,ice_cream,zoom_blur,2,0.16559844091534615,0.6368760611205433
podatne,ice_cream,zoom_blur,3,0.19425235129892826,0.7199795931381927
podatne,ice_cream,zoom_blur,4,0.2088950900360942,0.7788525886718988
podatne,ice_cream,zoom_blur,5,0.213571340078488,0.9351724137931035
podatne,ice_cream,snow,1,0.10426405817270279,0.4764795144157815
podatne,ice_cream,snow,2,0.1552586741745472,0.6087197615581895
podatne,ice_cream,snow,3,0.16846399754285812,0.676338696913743
podatne,ice_cream,snow,4,0.14154395461082458,0.6637374342587045
podatne,ice_cream,snow,5,0.0846703052520752,0.6303220524017468
podatne,ice_cream,frost,1,0.13422957807779312,0.42510788544527267
podatne,ice_cream,frost,2,0.13051700592041016,0.4912808177991581
podatne,ice_cream,frost,3,0.16048599034547806,0.6517095452408141
podatne,ice_cream,frost,4,0.18004223331809044,0.6328838032965536
podatne,ice_cream,frost,5,0.20295352581888437,0.6688772465017574
podatne,ice_cream,fog,1,0.08303605020046234,0.3727604377786785
podatne,ice_cream,fog,2,0.01361006498336792,0.46895499618611747
podatne,ice_cream,fog,3,0.007690504193305969,0.6071453347207769
podatne,ice_cream,fog,4,-0.009609103202819824,0.6395553748136098
podatne,ice_cream,fog,5,-0.021070048213005066,0.7003367003367003
podatne,ice_cream,brightness,1,0.06813327968120575,0.35488894352921896
podatne,ice_cream,brightness,2,0.0719485878944397,0.5846848117331829
podatne,ice_cream,brightness,3,0.05391386151313782,0.6560428523602276
podatne,ice_cream,brightness,4,0.06850403547286987,0.6040753877182001
podatne,ice_cream,brightness,5,0.06151039898395538,0.6377087009637573
podatne,ice_cream,contrast,1,0.07954438030719757,0.3088718510405257
podatne,ice_cream,contrast,2,0.08815927803516388,0.31935024700661474
podatne,ice_cream,contrast,3,0.07969003915786743,0.3928256866042117
podatne,ice_cream,contrast,4,0.06534169614315033,0.3280299875052062
podatne,ice_cream,contrast,5,0.06490281224250793,0.486586284853052
podatne,ice_cream,elastic_transform,1,0.06571461260318756,0.6358570069321734
podatne,ice_cream,elastic_transform,2,0.1248335987329483,0.5535778626504287
podatne,ice_cream,elastic_transform,3,0.13519582897424698,0.6722233247337435
podatne,ice_cream,elastic_transform,4,0.169975433498621,0.47128712871287126
podatne,ice_cream,elastic_transform,5,0.20584082324057817,0.7283123775826119
podatne,ice_cream,pixelate,1,0.20823710598051548,0.7443228026274633
podatne,ice_cream,pixelate,2,0.21178184589371085,0.7776627489190671
podatne,ice_cream,pixelate,3,0.21125047164969146,0.8371473263426221
podatne,ice_cream,pixelate,4,0.21228484716266394,0.8726128959784318
podatne,ice_cream,pixelate,5,0.21431536582531407,0.8770909090909091
podatne,ice_cream,jpeg_compression,1,0.18247917667031288,0.4970423062523399
podatne,ice_cream,jpeg_compression,2,0.1864917390048504,0.5158237207926649
podatne,ice_cream,jpeg_compression,3,0.17502833530306816,0.5071030122722202
podatne,ice_cream,jpeg_compression,4,0.15015985816717148,0.5663881151346333
podatne,ice_cream,jpeg_compression,5,0.18382703140377998,0.7256682115421242
podatne,ice_cream,gaussian_noise,1,-0.2751351445913315,0.8264554594341829
podatne,ice_cream,gaussian_noise,2,0.15417751669883728,0.8884398184032776
podatne,ice_cream,gaussian_noise,3,0.22566846176050603,0.9186146719810406
podatne,ice_cream,gaussian_noise,4,0.22632180398795754,0.9677634961439588
podatne,ice_cream,gaussian_noise,5,0.22716423170641065,0.9179735920237133
podatne,ice_cream,shot_noise,1,0.053182005882263184,0.7647203593182796
podatne,ice_cream,shot_noise,2,0.2193790366873145,0.8934024141542193
podatne,ice_cream,shot_noise,3,0.2248961536679417,0.8820647029344618
podatne,ice_cream,shot_noise,4,0.22689867834560573,0.9782177210036134
podatne,ice_cream,shot_noise,5,0.22744449932361022,0.8582233848953594
podatne,ice_cream,impulse_noise,1,-0.29576580226421356,0.8680085701398286
podatne,ice_cream,impulse_noise,2,0.20877588167786598,0.9463104859871942
podatne,ice_cream,impulse_noise,3,0.21826453879475594,0.9170397540320405
podatne,ice_cream,impulse_noise,4,0.2261114555876702,0.9347376240250438
podatne,ice_cream,impulse_noise,5,0.22623454465065151,0.9483526268922529
podatne,ice_cream,defocus_blur,1,0.18893582746386528,0.7807736685492197
podatne,ice_cream,defocus_blur,2,0.2140820473432541,0.8087694315889403
podatne,ice_cream,defocus_blur,3,0.21701988391578197,0.8956545654565456
podatne,ice_cream,defocus_blur,4,0.21842648182064295,0.870555805580558
podatne,ice_cream,defocus_blur,5,0.22248413925990462,0.8308292569298859
podatne,ice_cream,glass_blur,1,0.16644080355763435,0.7027847774116431
podatne,ice_cream,glass_blur,2,0.1734461933374405,0.6900893847458733
podatne,ice_cream,glass_blur,3,0.22203530743718147,0.9547584339858393
podatne,ice_cream,glass_blur,4,0.22312978701665998,0.8222561154455329
podatne,ice_cream,glass_blur,5,0.21897418517619371,0.8788183391969621
podatne,ice_cream,motion_blur,1,0.0684322714805603,0.7179438058748404
podatne,ice_cream,motion_blur,2,0.14870181679725647,0.7805515063168125
podatne,ice_cream,motion_blur,3,0.22616715356707573,0.8505753706990324
podatne,ice_cream,motion_blur,4,0.22760150342946872,0.9094513851167844
podatne,ice_cream,motion_blur,5,0.22757151050609536,0.8872693011140054
podatne,ice_cream,zoom_blur,1,0.1421944797039032,0.7902506628103158
