wnid,CNN,ViT,diff,name
n02105056,0.3024872841017272,0.25645398529119456,-0.04603329881053264,groenendael
n02105162,0.29563435776201735,0.22860224586288408,-0.06703211189913327,malinois
n02105412,0.38072457566680923,0.34788159588159584,-0.03284297978521339,kelpie
n02105505,0.29044094973789697,0.2106259636139377,-0.07981498612395926,komondor
n02105641,0.26770030234315945,0.20901432913590962,-0.05868597320724983,Old_English_sheepdog
n02105855,0.39436419331156175,0.29662491760052734,-0.09773927571103441,Shetland_sheepdog
n02106166,0.3103643785342471,0.21466666666666676,-0.09569771186758033,Border_collie
n02106382,0.36522966941571583,0.28084462511291775,-0.08438504430279808,Bouvier_des_Flandres
n02106550,0.28951801997394694,0.2691296296296296,-0.02038839034431733,Rottweiler
n02106662,0.23205631870649182,0.16725203252032517,-0.06480428618616665,German_shepherd
n02107142,0.3323824289405685,0.2655921855921856,-0.0667902433483829,Doberman
n02107312,0.34653574504737295,0.256,-0.09053574504737294,miniature_pinscher
n02107683,0.2140022675736962,0.18210884353741497,-0.03189342403628123,Bernese_mountain_dog
n02108000,0.29135556945313046,0.14545238095238094,-0.14590318850074951,EntleBucher
n02108089,0.3185420749079286,0.24648648648648652,-0.07205558842144205,boxer
n02108422,0.36899449500056175,0.3495247724974722,-0.019469722503089537,bull_mastiff
n02108551,0.2163068032571579,0.1453376503237743,-0.0709691529333836,Tibetan_mastiff
n02108915,0.372132966661842,0.2987878787878788,-0.07334508787396316,French_bulldog
n02109525,0.24523246650906225,0.17939420803782502,-0.06583825847123723,Saint_Bernard
n02110063,0.3084935400516796,0.2710594315245478,-0.037434108527131804,malamute
n02110341,0.3130952380952381,0.18151300236406614,-0.13158223573117195,dalmatian
n02110627,0.3182546394174301,0.2521212121212122,-0.0661334272962179,affenpinscher
n02110806,0.29412332545311265,0.21753623188405796,-0.07658709356905469,basenji
n02110958,0.29269841269841274,0.2595301418439716,-0.03316827085444113,pug
n02111129,0.21004444444444445,0.0872,-0.12284444444444445,Leonberg
n02111277,0.40971916720914564,0.35285353535353536,-0.05686563185561028,Newfoundland
n02111500,0.4297593003202759,0.37400000000000005,-0.05575930032027587,Great_Pyrenees
n02111889,0.2785034013605442,0.2011752786220871,-0.0773281227384571,Samoyed
n02112018,0.2253061224489796,0.2096598639455782,-0.0156462585034014,Pomeranian
n02112137,0.21117809298660362,0.1409543496985357,-0.07022374328806791,chow
n02112350,0.24501182033096933,0.1953191489361702,-0.04969267139479913,keeshond
n02112706,0.35337626606198036,0.26325918436130774,-0.09011708170067262,Brabancon_griffon
n02113023,0.37965464076472405,0.3017671957671958,-0.07788744499752825,Pembroke
n02113186,0.3035597711532671,0.2536808236808237,-0.049878947472443425,Cardigan
n02113799,0.3520772946859904,0.35545249597423517,0.0033752012882447557,standard_poodle
n02113978,0.3568253968253969,0.2246049188906332,-0.13222047793476369,Mexican_hairless
n02114367,0.28845679012345676,0.25685185185185183,-0.03160493827160493,timber_wolf
n02114548,0.2936958234830575,0.2048033126293996,-0.0888925108536579,white_wolf
n02115641,0.3087753258484966,0.26716783216783213,-0.041607493680664465,dingo
n02115913,0.23166615273923327,0.13588652482269498,-0.0957796279165383,dhole
n02116738,0.1783111111111111,0.08970884353741496,-0.08860226757369613,African_hunting_dog
n02117135,0.2404645903998355,0.1603237742830712,-0.0801408161167643,hyena
n02120079,0.2838095238095238,0.203114777826024,-0.0806947459834998,Arctic_fox
n02120505,0.24876244665718353,0.1789521100047416,-0.06981033665244193,grey_fox
n02123394,0.2664734299516908,0.2104347826086957,-0.05603864734299513,Persian_cat
n02123597,0.15968479117415282,0.09908730158730156,-0.060597489586851266,Siamese_cat
n02125311,0.28132387706855794,0.23375886524822692,-0.047565011820331016,cougar
n02127052,0.29734155207839424,0.2168421052631579,-0.08049944681523635,lynx
n02128385,0.33741755267538887,0.21542635658914727,-0.1219911960862416,leopard
n02128757,0.26124851350383266,0.16800000000000004,-0.09324851350383262,snow_leopard
n02128925,0.3404503506829089,0.2020393559928444,-0.13841099469006451,jaguar
n02129165,0.2677333333333333,0.13431292517006804,-0.13342040816326528,lion
n02129604,0.23551221434200156,0.10743203309692669,-0.12808018124507486,tiger
n02130308,0.2338888888888888,0.1400708616780045,-0.09381802721088431,cheetah
n02132136,0.2434541062801933,0.1311470860314523,-0.11230702024874098,brown_bear
n02133161,0.31261383492650846,0.2252037037037037,-0.08741013122280475,American_black_bear
n02134084,0.3437785657998424,0.2576203703703704,-0.086158195429472,ice_bear
n02134418,0.2448304093567252,0.1462185262185262,-0.09861188313819899,sloth_bear
n02137549,0.40530894308943094,0.37707091707091706,-0.028238026018513884,mongoose
n02138441,0.2703214901611448,0.18076485788113694,-0.08955663228000788,meerkat
n02165105,0.20699763593380607,0.1286524822695035,-0.07834515366430259,tiger_beetle
n02165456,0.20505687463596808,0.13020289855072464,-0.07485397608524344,ladybug
n02167151,0.27735049335049333,0.22174880763116062,-0.055601685719332716,ground_beetle
n02168699,0.40785764622973925,0.3206078203639179,-0.08724982586582136,long-horned_beetle
n02172182,0.3233429951690822,0.28964868876793665,-0.03369430640114557,dung_beetle
n02174001,0.3269306540583136,0.2599148936170213,-0.06701576044129232,rhinoceros_beetle
n02177972,0.3202836879432624,0.2460933977455717,-0.07419029019769069,weevil
n02190166,0.36113020384725814,0.269460458240946,-0.09166974560631214,fly
n02206856,0.34685249709639954,0.2621268137547207,-0.08472568334167885,bee
n02219486,0.27326118326118326,0.21621553884711783,-0.05704564441406543,ant
n02226429,0.3481600316894435,0.33307017543859646,-0.015089856250847022,grasshopper
