model,family,class,corruption,severity,method,iou,centroid_shift,prob_corr,correct
resnet101,CNN,velvet,shot_noise,5,cam,0.3518368994751716,22.76686709908016,0.00014909481978975236,False
resnet101,CNN,velvet,impulse_noise,1,cam,0.6661135081314304,2.1102849062315068,0.005152605008333921,False
resnet101,CNN,velvet,impulse_noise,2,cam,0.5520173133405473,12.690143761790418,0.001190745853818953,False
resnet101,CNN,velvet,impulse_noise,3,cam,0.4964972425100611,15.2449545697345,0.00023502555268350989,False
resnet101,CNN,velvet,impulse_noise,4,cam,0.37656817714403235,21.844612028385814,0.00013321344158612192,False
resnet101,CNN,velvet,impulse_noise,5,cam,0.337995337995338,16.109842338859554,7.680260750930756e-05,False
resnet101,CNN,velvet,defocus_blur,1,cam,0.6517232869951468,16.715672712032354,0.006699375808238983,False
resnet101,CNN,velvet,defocus_blur,2,cam,0.5594905250077664,24.05761070921578,0.005981863010674715,False
resnet101,CNN,velvet,defocus_blur,3,cam,0.46142649199417757,20.281853345484777,0.003497598459944129,False
resnet101,CNN,velvet,defocus_blur,4,cam,0.4789105631210894,13.662160723042001,0.0031019675079733133,False
resnet101,CNN,velvet,defocus_blur,5,cam,0.5639847340135524,5.933869569234322,0.0026046419516205788,False
resnet101,CNN,velvet,glass_blur,1,cam,1.0,0.0,0.34596186876296997,True
resnet101,CNN,velvet,glass_blur,2,cam,1.0,0.0,0.34596186876296997,True
resnet101,CNN,velvet,glass_blur,3,cam,1.0,0.0,0.34596186876296997,True
resnet101,CNN,velvet,glass_blur,4,cam,1.0,0.0,0.34596186876296997,True
resnet101,CNN,velvet,glass_blur,5,cam,1.0,0.0,0.34596186876296997,True
resnet101,CNN,velvet,motion_blur,1,cam,0.8321167883211679,6.808777870763255,0.02380378544330597,False
resnet101,CNN,velvet,motion_blur,2,cam,0.6661135081314304,22.7589793993724,0.0037581801880151033,False
resnet101,CNN,velvet,motion_blur,3,cam,0.5613093849622891,29.854896321658924,0.0011433751787990332,False
resnet101,CNN,velvet,motion_blur,4,cam,0.5750254921954663,27.336617494621617,0.000607253285124898,False
resnet101,CNN,velvet,motion_blur,5,cam,0.4681582218322732,20.43643468217318,9.979661263059825e-05,False
resnet101,CNN,velvet,zoom_blur,1,cam,0.7241971492357892,10.74450244077772,0.003629905404523015,False
resnet101,CNN,velvet,zoom_blur,2,cam,0.6708270926942919,9.577544963849824,0.0019883739296346903,False
resnet101,CNN,velvet,zoom_blur,3,cam,0.6634910115152017,12.188929541686356,0.0015794147038832307,False
resnet101,CNN,velvet,zoom_blur,4,cam,0.6810380912515697,12.715962511353922,0.0011059818789362907,False
resnet101,CNN,velvet,zoom_blur,5,cam,0.6551269370260469,14.742793814928808,0.0007990669691935182,False
resnet101,CNN,velvet,snow,1,cam,0.5450907971683595,21.297613337651626,0.0036062004510313272,False
resnet101,CNN,velvet,snow,2,cam,0.5887192468950241,12.194083031737923,0.0026565296575427055,False
resnet101,CNN,velvet,snow,3,cam,0.7389798215986837,6.551905380603228,0.0003315074718557298,False
resnet101,CNN,velvet,snow,4,cam,0.48443853034671397,16.52751183337493,0.0001307478960370645,False
resnet101,CNN,velvet,snow,5,cam,0.6785087352670734,5.8798696788348614,0.004266057163476944,False
resnet101,CNN,velvet,frost,1,cam,0.749738584872778,6.704723020418741,0.7164637446403503,True
resnet101,CNN,velvet,frost,2,cam,0.5208664697417253,12.376339049261242,0.03458087146282196,False
resnet101,CNN,velvet,frost,3,cam,0.630664284554166,10.7291565179997,0.019928140565752983,False
resnet101,CNN,velvet,frost,4,cam,0.5899912898883523,18.943863094340013,0.0667397528886795,False
resnet101,CNN,velvet,frost,5,cam,0.7534055186866923,13.892988396565785,0.008859055116772652,False
resnet101,CNN,velvet,fog,1,cam,0.6240698802976383,11.093186671322856,0.04212278127670288,False
resnet101,CNN,velvet,fog,2,cam,0.6502301117685733,11.44320071882916,0.01629788987338543,False
resnet101,CNN,velvet,fog,3,cam,0.729841488628532,8.12374767191557,0.11866415292024612,True
resnet101,CNN,velvet,fog,4,cam,0.6003026200525603,16.192532537979876,0.009632712230086327,False
resnet101,CNN,velvet,fog,5,cam,0.6398661333768672,5.444816980808262,0.004762960597872734,False
resnet101,CNN,velvet,brightness,1,cam,0.9529274460221747,1.4550443641133308,0.290522962808609,True
resnet101,CNN,velvet,brightness,2,cam,0.8708655548308953,5.2370733535523595,0.14093324542045593,True
resnet101,CNN,velvet,brightness,3,cam,0.7662063506025156,10.16519207689294,0.047549404203891754,False
resnet101,CNN,velvet,brightness,4,cam,0.6960891967226962,11.359249095329693,0.0378793403506279,False
resnet101,CNN,velvet,brightness,5,cam,0.6804753535860741,15.977674454568318,0.0360121913254261,False
resnet101,CNN,velvet,contrast,1,cam,0.8585708996667901,6.344997665904357,0.24402280151844025,True
resnet101,CNN,velvet,contrast,2,cam,0.8251227049627341,8.062626592826668,0.16184203326702118,True
resnet101,CNN,velvet,contrast,3,cam,0.7967072297780959,9.706490685001476,0.12252643704414368,True
resnet101,CNN,velvet,contrast,4,cam,0.7555516698723553,12.38315320560972,0.020308861508965492,False
resnet101,CNN,velvet,contrast,5,cam,0.6713833860496088,12.082834291214871,0.015307432971894741,False
resnet101,CNN,velvet,elastic_transform,1,cam,0.6342713077423552,8.282451770196428,0.09011455625295639,True
resnet101,CNN,velvet,elastic_transform,2,cam,0.6093612246533622,7.29106190263014,0.034961748868227005,False
