wnid,compactness,dispersion,margin,n_imgs,model
n02356798,0.23189951479434967,0.026303877930976247,0.7072082757949829,46,resnet101
n02361337,0.18618489801883698,0.022781450725777162,0.5525655150413513,48,resnet101
n02363005,0.18373802304267883,0.016790210913676232,0.5438262820243835,43,resnet101
n02364673,0.24971307814121246,0.027468518352985347,0.6610627174377441,45,resnet101
n02389026,0.15413126349449158,0.02101285344197775,0.4997262954711914,49,resnet101
n02391049,0.09335723519325256,0.00831538624679002,0.8500559329986572,48,resnet101
n02395406,0.3265036940574646,0.05287718432826381,0.3374372720718384,32,resnet101
n02396427,0.1969304233789444,0.019576862904056053,0.3374372720718384,44,resnet101
n02397096,0.1427479237318039,0.011850379226729013,0.563328206539154,48,resnet101
n02398521,0.21344920992851257,0.02542877933469325,0.6914754509925842,50,resnet101
n02403003,0.30942314863204956,0.052361823214330236,0.2579643726348877,33,resnet101
n02408429,0.19599437713623047,0.01890289266488116,0.4534182548522949,46,resnet101
n02410509,0.15492963790893555,0.01473354196498458,0.6926705241203308,46,resnet101
n02412080,0.3204113841056824,0.04057233566861232,0.24380195140838623,40,resnet101
n02415577,0.19818156957626343,0.02486254267757744,0.24380207061767578,30,resnet101
n02417914,0.15229438245296478,0.014286676985270872,0.6134262084960938,49,resnet101
n02422106,0.12831152975559235,0.01187590170766921,0.6659519076347351,46,resnet101
n02422699,0.13576187193393707,0.011970593665929508,0.2556869387626648,44,resnet101
n02423022,0.21493151783943176,0.027862285593224588,0.2556869387626648,38,resnet101
n02437312,0.2501918077468872,0.03545351726430063,0.6189663410186768,50,resnet101
n02437616,0.22821886837482452,0.021598060069173294,0.6189662218093872,47,resnet101
