model,method,wnid,name,image_pos,image_idx,corruption,family,severity,prob_clean,prob_corr,prob_drop,correct_clean,correct_corr,xai_iou,xai_corr,centroid_shift,entropy_clean,entropy_corr,entropy_delta,family_model
vit_b_16,ig,n03899768,patio,0,1538,zoom_blur,blur,4,0.005413006525486708,0.0029318006709218025,0.002481205854564905,0,0,0.23618895116092875,0.33929947129357857,4.521956446288637,1.657749711324688,2.091408500341783,0.4336587890170951,ViT
vit_b_16,rollout,n03899768,patio,0,1538,zoom_blur,blur,5,0.005413006525486708,0.0018358941888436675,0.00357711233664304,0,0,0.4117316078210719,0.51187132601041,11.764880992891621,2.6878017347416643,4.0802741467526955,1.3924724120110312,ViT
vit_b_16,cam,n03899768,patio,0,1538,zoom_blur,blur,5,0.005413006525486708,0.0018358941888436675,0.00357711233664304,0,0,0.26159648020113135,0.30338557211199124,26.94990463714272,2.957437367047879,2.5976737885234114,-0.3597635785244675,ViT
vit_b_16,ig,n03899768,patio,0,1538,zoom_blur,blur,5,0.005413006525486708,0.0018358941888436675,0.00357711233664304,0,0,0.243079209760327,0.31051608415538134,11.155595295097072,1.657749711324688,1.3520789496704027,-0.3056707616542853,ViT
vit_b_16,rollout,n03899768,patio,0,1538,snow,weather,1,0.005413006525486708,0.0015490635996684432,0.0038639429258182645,0,0,0.4307505880675743,0.46851267265592017,30.18846129556941,2.6878017347416643,3.558743305565878,0.8709415708242139,ViT
vit_b_16,cam,n03899768,patio,0,1538,snow,weather,1,0.005413006525486708,0.0015490635996684432,0.0038639429258182645,0,0,0.6437638195070019,0.7974593851709159,3.3820389136029525,2.957437367047879,4.471549890843587,1.514112523795708,ViT
vit_b_16,ig,n03899768,patio,0,1538,snow,weather,1,0.005413006525486708,0.0015490635996684432,0.0038639429258182645,0,0,0.2838684917487527,0.4027292669649767,17.931602058029846,1.657749711324688,2.114960508946919,0.4572107976222308,ViT
vit_b_16,rollout,n03899768,patio,0,1538,snow,weather,2,0.005413006525486708,0.0003556044539436698,0.005057402071543038,0,0,0.37724715246329077,0.29834854747940137,36.54594306753952,2.6878017347416643,3.9378427061427956,1.2500409714011314,ViT
vit_b_16,cam,n03899768,patio,0,1538,snow,weather,2,0.005413006525486708,0.0003556044539436698,0.005057402071543038,0,0,0.2381422315425893,0.30483375188798906,17.46550299934579,2.957437367047879,2.110254219923775,-0.8471831471241038,ViT
vit_b_16,ig,n03899768,patio,0,1538,snow,weather,2,0.005413006525486708,0.0003556044539436698,0.005057402071543038,0,0,0.22218839432503196,0.2524531482997221,36.25105987020884,1.657749711324688,1.8872084102442013,0.22945869891951332,ViT
