model,family,class,corruption,severity,method,iou,centroid_shift,prob_corr,correct,abs_delta_hf_energy,abs_delta_edge_strength,abs_delta_entropy,abs_delta_contrast,abs_delta_brightness
resnet101,CNN,velvet,defocus_blur,4,cam,0.4789105631210894,13.662160723042001,0.0031019675079733133,False,0.01393542264122516,0.011322995647788048,0.011106968241541892,0.008535012602806091,0.00040027499198913574
resnet101,CNN,velvet,defocus_blur,5,cam,0.5639847340135524,5.933869569234322,0.0026046419516205788,False,0.013897616765461862,0.011901358142495155,0.026297604436472888,0.011057555675506592,3.2633543014526367e-06
resnet101,CNN,velvet,glass_blur,1,cam,1.0,0.0,0.34596186876296997,True,0.0,0.0,0.0,0.0,0.0
resnet101,CNN,velvet,glass_blur,2,cam,1.0,0.0,0.34596186876296997,True,0.0,0.0,0.0,0.0,0.0
resnet101,CNN,velvet,glass_blur,3,cam,1.0,0.0,0.34596186876296997,True,0.0,0.0,0.0,0.0,0.0
resnet101,CNN,velvet,glass_blur,4,cam,1.0,0.0,0.34596186876296997,True,0.0,0.0,0.0,0.0,0.0
resnet101,CNN,velvet,glass_blur,5,cam,1.0,0.0,0.34596186876296997,True,0.0,0.0,0.0,0.0,0.0
resnet101,CNN,velvet,motion_blur,1,cam,0.8321167883211679,6.808777870763255,0.02380378544330597,False,0.009381040465086699,0.005352550186216831,0.03197219615731939,0.003650084137916565,0.0025325268507003784
resnet101,CNN,velvet,motion_blur,2,cam,0.6661135081314304,22.7589793993724,0.0037581801880151033,False,0.011965228710323572,0.0077021121978759766,0.050608389738556525,0.005207553505897522,0.004149287939071655
resnet101,CNN,velvet,motion_blur,3,cam,0.5613093849622891,29.854896321658924,0.0011433751787990332,False,0.011102342512458563,0.008346838876605034,0.04530164058908781,0.007421731948852539,0.004783421754837036
resnet101,CNN,velvet,motion_blur,4,cam,0.5750254921954663,27.336617494621617,0.000607253285124898,False,0.012956340797245502,0.00953930290415883,0.030679702523364938,0.011944055557250977,0.003425508737564087
resnet101,CNN,velvet,motion_blur,5,cam,0.4681582218322732,20.43643468217318,9.979661263059825e-05,False,0.013245370937511325,0.010019703768193722,0.023625521092959012,0.01565423607826233,0.0027080774307250977
resnet101,CNN,velvet,zoom_blur,1,cam,0.7241971492357892,10.74450244077772,0.003629905404523015,False,0.009653161279857159,0.006096678785979748,0.01392537680027317,0.00043255090713500977,0.005919173359870911
resnet101,CNN,velvet,zoom_blur,2,cam,0.6708270926942919,9.577544963849824,0.0019883739296346903,False,0.01056241150945425,0.006875623948872089,0.03084477418789966,6.748735904693604e-05,0.00871114432811737
resnet101,CNN,velvet,zoom_blur,3,cam,0.6634910115152017,12.188929541686356,0.0015794147038832307,False,0.011380417738109827,0.007544363848865032,0.047694861824335355,0.00021611154079437256,0.011508733034133911
resnet101,CNN,velvet,zoom_blur,4,cam,0.6810380912515697,12.715962511353922,0.0011059818789362907,False,0.011790696997195482,0.008010859601199627,0.06191883148610522,0.0001252889633178711,0.014129921793937683
resnet101,CNN,velvet,zoom_blur,5,cam,0.6551269370260469,14.742793814928808,0.0007990669691935182,False,0.012002818752080202,0.008337744511663914,0.08173331977266862,0.0005088448524475098,0.017547443509101868
resnet101,CNN,velvet,snow,1,cam,0.5450907971683595,21.297613337651626,0.0036062004510313272,False,0.00625875499099493,0.021928679198026657,0.3474265225518467,0.02587883174419403,0.1447419971227646
resnet101,CNN,velvet,snow,2,cam,0.5887192468950241,12.194083031737923,0.0026565296575427055,False,0.014029617421329021,0.05373682081699371,0.5871406317120815,0.04091346263885498,0.25254397094249725
resnet101,CNN,velvet,snow,3,cam,0.7389798215986837,6.551905380603228,0.0003315074718557298,False,0.00331737007945776,0.033465560525655746,0.5635968159264237,0.04648354649543762,0.2428651601076126
resnet101,CNN,velvet,snow,4,cam,0.48443853034671397,16.52751183337493,0.0001307478960370645,False,0.0017517702654004097,0.04047558084130287,0.6361261448955586,0.058036044239997864,0.29781852662563324
resnet101,CNN,velvet,snow,5,cam,0.6785087352670734,5.8798696788348614,0.004266057163476944,False,0.0009076548740267754,0.05000534653663635,0.5842978242407444,0.04001782834529877,0.3771512359380722
